"year"	"week"	"num_orders"	"total_sales_volume"	"total_revenue"
2012	1	304	815	377801.03
2012	7	3	12	309.09
2012	8	3	8	101.97
2012	9	1	2	35.3
2012	10	2	9	144.76
2012	11	7	30	3558.49
2012	12	1	4	153.59
2012	13	1	6	335.45
2012	14	2	8	402.54
2012	15	3	7	419.70
2012	16	3	7	540.27
2012	17	1	3	190.67
2012	19	2	9	409.94
2012	20	1	3	201.09
2012	21	8	38	1402.79
2012	23	2	7	23.82
2012	24	1	2	83.64
2012	25	2	6	79.65
2012	28	5	49	94310.74
2012	29	18	199	323110.95
2012	30	43	266	341042.40
2012	31	75	526	640408.01
2012	32	772	2692	804004.00
2012	33	1123	3724	1358999.32
2012	34	1069	3515	1312955.90
2012	35	1401	4190	1711851.20
2012	36	1183	3602	1272599.34
2012	37	1359	4321	1694430.10
2012	38	1442	4515	1455616.45
2012	39	1720	5792	1722500.50
2012	40	1365	4190	1269823.76
2012	41	1508	4922	1766159.61
2012	42	1805	6619	2174441.46
2012	43	1982	7005	2501087.81
2012	44	2174	7055	2406354.41
2012	45	1972	6420	2616867.28
2012	46	2003	6639	2415706.33
2012	47	2354	7171	2852571.14
2012	48	2043	6135	2274741.95
2012	49	3039	8909	3165637.23
2012	50	2610	7197	2871845.34
2012	51	3268	8598	3788160.12
2012	52	2427	6314	3104220.55
2013	1	2450	6299	2626338.44
2013	2	2543	8105	3231272.30
2013	3	2059	6761	2250523.33
2013	4	2178	7229	2098371.96
2013	5	2272	7774	2285311.09
2013	6	1885	6557	2029396.67
2013	7	1954	6696	2133092.78
2013	8	2207	8094	2161492.13
2013	9	2557	9104	2328734.23
2013	10	2992	11052	3107179.37
2013	11	2737	9909	3262273.38
2013	12	2693	8696	2219548.18
2013	13	2319	8105	2524008.96
2013	14	3869	11940	2620203.95
2013	15	3492	10533	2149603.75
2013	16	3313	10388	2625504.03
2013	17	4544	13994	2628967.49
2013	18	2540	8216	2465948.31
2013	19	2578	8280	2644226.52
2013	20	2216	7107	2006258.09
2013	21	1854	6215	2059100.83
2013	22	1798	5884	1906399.06
2013	23	1895	6644	2282691.99
2013	24	1868	6467	2121981.07
2013	25	2436	7918	2004894.66
2013	26	1960	7255	2277714.41
2013	27	1775	6082	1845660.64
2013	28	2238	8192	2401490.12
2013	29	2156	7937	2609337.32
2013	30	2242	7536	2226246.65
